,Date,Company,Market,StatCaseVolume,StatCaseBaseVolume,StatCaseInc'lVolume,DollarSales,BaseDollars,IncrementalDollars,ACVWtdDist,AvgItemsperStore,AvgPrice/Vol,AvgWklyVolumeSalesper$MMACV,WklyTtlDistPoints,"WtdAvg%PrcRed,AnyMerch","WtdAvg%PrcRed,Feature&/orDisplay","WtdAvg%PrcRed,PrcRedOnly",WtdBasePriceperVolume,"%BaseVolume,AnyMerch","%BaseVolume,Feature&/orDisplay","%BaseVolume,PrcRedOnly",MarkdownDollars
0,Week1,Company1,Region1,38,99,38,52,33,61,74,10,88,87,45,16,79,4,58,8,51,1,44
1,Week2,Company1,Region1,20,69,62,64,21,81,85,95,65,49,38,73,29,92,67,53,46,90,18
2,Week3,Company1,Region1,51,49,99,62,83,46,77,100,33,96,62,76,63,60,6,20,75,41,83
3,Week4,Company1,Region1,1,73,30,31,87,7,67,50,66,30,26,72,99,61,36,0,57,49,51
4,Week5,Company1,Region1,47,63,100,62,81,62,22,93,34,18,87,36,2,19,39,95,86,5,19
5,Week6,Company1,Region1,33,36,4,97,55,99,25,58,90,27,13,46,53,45,85,75,91,68,67
6,Week7,Company1,Region1,61,46,41,6,24,60,28,94,2,17,20,18,91,86,93,95,61,34,69
7,Week8,Company1,Region1,27,100,14,7,65,48,21,100,10,51,18,40,86,67,77,71,18,59,79
8,Week9,Company1,Region1,96,99,1,80,98,47,27,24,53,57,89,71,97,75,48,79,83,76,66
9,Week10,Company1,Region1,100,14,97,70,46,98,57,31,13,16,45,28,12,13,11,94,34,18,63
10,Week11,Company1,Region1,12,93,79,88,62,46,72,21,90,37,54,76,19,72,35,0,27,98,42
11,Week12,Company1,Region1,59,11,81,44,11,21,47,99,28,70,37,34,32,0,29,4,75,48,92
12,Week13,Company1,Region1,70,19,1,33,75,36,34,40,63,57,67,25,3,71,40,71,46,39,77
13,Week14,Company1,Region1,89,51,71,42,76,30,16,46,22,90,75,55,50,72,14,12,67,42,70
